Timestamp,Date,Gender,Age,Race,Which state are you from?,Which university are you from?,How many hours do you spend on social media in a day? (0.5 hour=30 minutes) ,Which social media site do you use the most?,What is the rating of your most used app?,How many friends did you add in your Facebook today?,How many followers did you gain in your Instagram today?
2022/05/28 10:23:05 pm GMT+8,5/28/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),7,WhatsApp,4.3,0,2
2022/05/28 8:04:03 pm GMT+8,5/28/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/05/28 8:24:28 pm GMT+8,5/28/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),2,YouTube,4.2,0,0
2022/05/28 8:24:33 pm GMT+8,5/28/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook ,3.2,1,2
2022/05/28 8:26:24 pm GMT+8,5/28/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),6.5,TikTok,4.2,0,1
2022/05/28 8:28:34 pm GMT+8,5/28/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),1.5,Facebook,3.2,0,0
2022/05/28 8:30:31 pm GMT+8,5/28/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),6,TikTok,4.6,1,1
2022/05/28 8:30:45 pm GMT+8,5/28/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),4,YouTube,4.2,0,0
2022/05/28 8:32:14 pm GMT+8,5/28/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),3,WhatsApp,4.3,0,0
2022/05/28 8:32:53 pm GMT+8,5/28/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),2,Messenger,3.8,0,0
2022/05/28 8:33:10 pm GMT+8,5/28/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),5,YouTube,4.2,0,0
2022/05/28 8:33:27 pm GMT+8,5/28/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),6,Facebook,3.2,0,1
2022/05/28 8:35:36 pm GMT+8,5/28/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),10,Instagram,3.5,0,2
